Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+LSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+LSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 40]  40/100       Tanh+Hardswish acc= 86.47  ETA  70.1m
[seed 50]  41/100       GELU+ReLU      acc= 86.65  ETA  67.2m
[seed 30]  41/100       GELU+ReLU      acc= 85.44  ETA  67.2m
[seed 10]  41/72       Mish+PReLU     acc= 87.63  ETA  35.5m
[seed 20]  42/100       GELU+ELU       acc= 87.37  ETA  65.4m
[seed 30]  42/100       GELU+ELU       acc= 87.65  ETA  66.0m
[seed 40]  41/100       GELU+ReLU      acc= 87.06  ETA  68.9m
[seed 50]  42/100       GELU+ELU       acc= 86.66  ETA  66.2m
[seed 10]  42/72       Mish+Hardswish acc= 86.54  ETA  34.4m
[seed 20]  43/100       GELU+LeakyReLU acc= 87.44  ETA  64.4m
[seed 30]  43/100       GELU+LeakyReLU acc= 86.02  ETA  64.9m
[seed 40]  42/100       GELU+ELU       acc= 86.43  ETA  67.8m
[seed 50]  43/100       GELU+LeakyReLU acc= 86.57  ETA  65.1m
[seed 10]  43/72       SELU+ReLU      acc= 86.75  ETA  33.3m
[seed 20]  44/100       GELU+Tanh      acc= 86.14  ETA  63.4m
[seed 30]  44/100       GELU+Tanh      acc= 86.52  ETA  63.6m
[seed 50]  44/100       GELU+Tanh      acc= 86.44  ETA  63.7m
[seed 40]  43/100       GELU+LeakyReLU acc= 86.67  ETA  66.7m
[seed 10]  44/72       SELU+ELU       acc= 84.37  ETA  32.2m
[seed 30]  45/100       GELU+GELU      acc= 87.36  ETA  62.2m
[seed 20]  45/100       GELU+GELU      acc= 86.72  ETA  62.3m
[seed 50]  45/100       GELU+GELU      acc= 85.83  ETA  62.7m
[seed 10]  45/72       SELU+LeakyReLU acc= 85.98  ETA  30.8m
[seed 40]  44/100       GELU+Tanh      acc= 87.46  ETA  65.5m
[seed 30]  46/100       GELU+SiLU      acc= 86.98  ETA  61.0m
[seed 20]  46/100       GELU+SiLU      acc= 86.98  ETA  61.1m
[seed 50]  46/100       GELU+SiLU      acc= 86.53  ETA  61.6m
[seed 10]  46/72       SELU+Tanh      acc= 86.63  ETA  29.7m
[seed 40]  45/100       GELU+GELU      acc= 86.29  ETA  64.4m
[seed 30]  47/100       GELU+Mish      acc= 86.23  ETA  60.0m
[seed 20]  47/100       GELU+Mish      acc= 86.23  ETA  60.1m
[seed 50]  47/100       GELU+Mish      acc= 86.89  ETA  60.5m
