architecture,act1,act2,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,pr_gap,rank_global,rank_in_arch
BiGRU+GRU,SELU,ReLU,5,87.402,0.318,0.394,86.95,87.84,87.388,0.414,87.502,87.308,0.194,149,75
BiGRU+BiGRU,ReLU,ELU,5,87.402,0.358,0.445,87.02,87.92,87.514,0.459,86.762,88.368,1.606,149,75
BiGRU+BiGRU,PReLU,Tanh,5,87.4,0.285,0.354,87.02,87.74,87.43,0.51,87.252,87.712,0.46,151,76
BiGRU+BiGRU,Mish,Tanh,5,87.398,0.298,0.371,86.97,87.69,87.406,0.654,87.362,87.576,0.214,152,77
BiGRU+GRU,GELU,LeakyReLU,5,87.398,0.549,0.681,86.57,87.91,87.274,0.8,88.122,86.504,1.618,152,76
BiGRU+GRU,ReLU,Mish,5,87.388,0.699,0.868,86.17,87.96,87.264,1.031,88.076,86.584,1.492,154,77
BiGRU+BiGRU,LeakyReLU,ReLU,5,87.388,0.226,0.28,87.01,87.58,87.306,0.606,87.918,86.86,1.058,154,78
BiGRU+GRU,LeakyReLU,Tanh,5,87.388,0.55,0.682,86.7,88.2,87.38,0.803,87.45,87.444,0.006,154,77
BiGRU+GRU,GELU,ReLU,5,87.382,0.187,0.232,87.06,87.55,87.302,0.4,87.876,86.78,1.096,157,79
BiGRU+BiGRU,SELU,GELU,5,87.38,0.32,0.398,86.94,87.69,87.22,0.794,88.374,86.304,2.07,158,79
BiGRU+BiGRU,LeakyReLU,Tanh,5,87.38,0.158,0.196,87.22,87.57,87.36,0.429,87.528,87.304,0.224,158,79
BiGRU+BiGRU,PReLU,ELU,5,87.376,0.325,0.404,86.98,87.85,87.462,0.515,86.862,88.112,1.25,160,81
BiGRU+BiGRU,SELU,SELU,5,87.37,0.212,0.263,87.17,87.72,87.34,0.427,87.586,87.168,0.418,161,82
BiGRU+BiGRU,ELU,ReLU,5,87.366,0.294,0.366,86.99,87.81,87.15,0.649,88.68,85.8,2.88,162,83
BiGRU+BiGRU,Tanh,SELU,5,87.362,0.59,0.732,86.37,87.94,87.214,1.045,88.228,86.424,1.804,163,84
BiGRU+BiGRU,Tanh,Hardswish,5,87.36,0.451,0.56,86.58,87.71,87.202,0.874,88.3,86.292,2.008,164,85
BiGRU+BiGRU,LeakyReLU,PReLU,5,87.36,0.2,0.249,87.05,87.55,87.166,0.532,88.548,85.936,2.612,164,85
BiGRU+BiGRU,ELU,SiLU,5,87.356,0.324,0.403,86.91,87.78,87.408,0.552,87.074,87.844,0.77,166,87
BiGRU+GRU,Tanh,ELU,5,87.354,0.144,0.179,87.16,87.53,87.374,0.214,87.25,87.524,0.274,167,80
BiGRU+BiGRU,GELU,LeakyReLU,5,87.35,0.352,0.437,86.98,87.77,87.146,0.747,88.57,85.932,2.638,168,88
BiGRU+GRU,SiLU,Mish,5,87.346,0.381,0.473,86.73,87.72,87.616,0.286,85.82,89.552,3.732,169,81
BiGRU+GRU,Mish,Tanh,5,87.342,0.325,0.404,86.82,87.62,87.398,0.434,87.1,87.844,0.744,170,82
BiGRU+BiGRU,GELU,Tanh,5,87.332,0.429,0.532,86.74,87.8,87.174,0.945,88.274,86.332,1.942,171,89
BiGRU+GRU,Tanh,SiLU,5,87.332,0.446,0.553,86.64,87.78,87.134,0.84,88.506,85.96,2.546,171,83
