architecture,act1,act2,single_seed_acc,multiseed_mean,delta,multiseed_std,ci95,acc_min,acc_max,within_ci,single_rank,multiseed_rank,rank_change,abs_delta,abs_rank_change
BiGRU+GRU,Mish,SELU,87.9,87.432,-0.468,0.508,0.63,86.87,88.18,True,14,66,-52,0.468,52
BiGRU+GRU,GELU,SiLU,88.03,87.432,-0.598,0.154,0.191,87.25,87.6,False,3,66,-63,0.598,63
BiGRU+GRU,ELU,Tanh,87.28,87.428,0.148,0.245,0.305,87.14,87.73,True,72,68,4,0.148,4
BiGRU+GRU,Hardswish,PReLU,87.62,87.424,-0.196,0.183,0.227,87.22,87.64,True,36,69,-33,0.196,33
BiGRU+GRU,Hardswish,SiLU,87.54,87.422,-0.118,0.46,0.571,86.82,87.9,True,44,70,-26,0.118,26
BiGRU+GRU,Mish,ELU,87.54,87.418,-0.122,0.269,0.334,87.05,87.67,True,44,71,-27,0.122,27
BiGRU+GRU,Hardswish,SELU,87.68,87.416,-0.264,0.377,0.468,86.76,87.72,True,32,72,-40,0.264,40
BiGRU+GRU,PReLU,LeakyReLU,87.0,87.408,0.408,0.437,0.542,86.66,87.69,True,87,73,14,0.408,14
BiGRU+GRU,LeakyReLU,LeakyReLU,87.46,87.404,-0.056,0.708,0.88,86.18,87.88,True,52,74,-22,0.056,22
BiGRU+GRU,SELU,ReLU,87.38,87.402,0.022,0.318,0.394,86.95,87.84,True,59,75,-16,0.022,16
BiGRU+GRU,GELU,LeakyReLU,86.95,87.398,0.448,0.549,0.681,86.57,87.91,True,90,76,14,0.448,14
BiGRU+GRU,LeakyReLU,Tanh,88.05,87.388,-0.662,0.55,0.682,86.7,88.2,True,1,77,-76,0.662,76
BiGRU+GRU,ReLU,Mish,87.94,87.388,-0.552,0.699,0.868,86.17,87.96,True,11,77,-66,0.552,66
BiGRU+GRU,GELU,ReLU,87.25,87.382,0.132,0.187,0.232,87.06,87.55,True,74,79,-5,0.132,5
BiGRU+GRU,Tanh,ELU,87.42,87.354,-0.066,0.144,0.179,87.16,87.53,True,56,80,-24,0.066,24
BiGRU+GRU,SiLU,Mish,87.85,87.346,-0.504,0.381,0.473,86.73,87.72,False,17,81,-64,0.504,64
BiGRU+GRU,Mish,Tanh,87.32,87.342,0.022,0.325,0.404,86.82,87.62,True,68,82,-14,0.022,14
BiGRU+GRU,Tanh,SiLU,87.55,87.332,-0.218,0.446,0.553,86.64,87.78,True,43,83,-40,0.218,40
BiGRU+GRU,Tanh,PReLU,87.56,87.326,-0.234,0.222,0.276,87.06,87.56,True,41,84,-43,0.234,43
BiGRU+GRU,ReLU,ELU,87.45,87.322,-0.128,0.668,0.83,86.45,87.92,True,53,85,-32,0.128,32
BiGRU+GRU,ReLU,PReLU,87.35,87.31,-0.04,0.207,0.257,87.13,87.57,True,60,86,-26,0.04,26
BiGRU+GRU,ReLU,SiLU,87.82,87.304,-0.516,0.549,0.682,86.33,87.61,True,18,87,-69,0.516,69
BiGRU+GRU,Mish,LeakyReLU,87.64,87.29,-0.35,0.546,0.678,86.4,87.76,True,35,88,-53,0.35,53
BiGRU+GRU,LeakyReLU,SELU,88.0,87.28,-0.72,0.457,0.567,86.93,88.08,False,6,89,-83,0.72,83
