Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+BiLSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+BiLSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 10]  42/100       GELU+ELU       acc= 86.43  ETA  59.0m
[seed 50]  41/100       GELU+ReLU      acc= 87.17  ETA  61.9m
[seed 40]  40/100       Tanh+Hardswish acc= 86.39  ETA  65.0m
[seed 20]  39/100       Tanh+PReLU     acc= 86.48  ETA  68.3m
[seed 30]  42/100       GELU+ELU       acc= 87.16  ETA  60.4m
[seed 10]  43/100       GELU+LeakyReLU acc= 86.82  ETA  58.0m
[seed 50]  42/100       GELU+ELU       acc= 87.08  ETA  60.8m
[seed 40]  41/100       GELU+ReLU      acc= 86.27  ETA  63.6m
[seed 30]  43/100       GELU+LeakyReLU acc= 87.24  ETA  59.4m
[seed 10]  44/100       GELU+Tanh      acc= 87.27  ETA  57.1m
[seed 20]  40/100       Tanh+Hardswish acc= 86.67  ETA  67.5m
[seed 50]  43/100       GELU+LeakyReLU acc= 87.03  ETA  59.9m
[seed 40]  42/100       GELU+ELU       acc= 86.88  ETA  62.7m
[seed 30]  44/100       GELU+Tanh      acc= 85.37  ETA  58.2m
[seed 10]  45/100       GELU+GELU      acc= 86.98  ETA  56.1m
[seed 20]  41/100       GELU+ReLU      acc= 87.77  ETA  66.4m
[seed 50]  44/100       GELU+Tanh      acc= 86.30  ETA  58.9m
[seed 40]  43/100       GELU+LeakyReLU acc= 86.85  ETA  61.7m
[seed 30]  45/100       GELU+GELU      acc= 87.18  ETA  57.2m
[seed 10]  46/100       GELU+SiLU      acc= 87.04  ETA  55.1m
[seed 50]  45/100       GELU+GELU      acc= 86.78  ETA  57.7m
[seed 20]  42/100       GELU+ELU       acc= 87.40  ETA  65.4m
[seed 40]  44/100       GELU+Tanh      acc= 86.11  ETA  60.4m
[seed 30]  46/100       GELU+SiLU      acc= 86.64  ETA  56.1m
[seed 50]  46/100       GELU+SiLU      acc= 86.95  ETA  56.6m
[seed 10]  47/100       GELU+Mish      acc= 86.93  ETA  54.4m
[seed 40]  45/100       GELU+GELU      acc= 86.41  ETA  59.1m
[seed 20]  43/100       GELU+LeakyReLU acc= 86.84  ETA  64.5m
[seed 30]  47/100       GELU+Mish      acc= 87.20  ETA  55.1m
[seed 40]  46/100       GELU+SiLU      acc= 86.46  ETA  57.9m
[seed 50]  47/100       GELU+Mish      acc= 87.10  ETA  55.6m
[seed 10]  48/100       GELU+SELU      acc= 86.87  ETA  53.4m
[seed 20]  44/100       GELU+Tanh      acc= 87.03  ETA  63.2m
[seed 30]  48/100       GELU+SELU      acc= 86.81  ETA  54.2m
[seed 40]  47/100       GELU+Mish      acc= 86.61  ETA  56.7m
[seed 50]  48/100       GELU+SELU      acc= 87.17  ETA  54.5m
[seed 10]  49/100       GELU+PReLU     acc= 87.31  ETA  52.4m
[seed 20]  45/100       GELU+GELU      acc= 87.21  ETA  62.1m
[seed 30]  49/100       GELU+PReLU     acc= 86.85  ETA  53.2m
[seed 40]  48/100       GELU+SELU      acc= 85.48  ETA  55.4m
[seed 50]  49/100       GELU+PReLU     acc= 86.90  ETA  53.5m
[seed 10]  50/100       GELU+Hardswish acc= 85.98  ETA  51.4m
[seed 20]  46/100       GELU+SiLU      acc= 86.73  ETA  61.1m
[seed 40]  49/100       GELU+PReLU     acc= 85.65  ETA  54.2m
