Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+GRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+GRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 10]  29/100  LeakyReLU+PReLU     acc= 87.53  ETA  58.1m
[seed 30]  30/100  LeakyReLU+Hardswish acc= 87.47  ETA  55.7m
[seed 20]  31/100       Tanh+ReLU      acc= 87.36  ETA  53.1m
[seed 50]  32/100       Tanh+ELU       acc= 87.16  ETA  51.8m
[seed 40]  31/100       Tanh+ReLU      acc= 87.53  ETA  54.3m
[seed 10]  30/100  LeakyReLU+Hardswish acc= 87.31  ETA  57.4m
[seed 30]  31/100       Tanh+ReLU      acc= 86.25  ETA  54.8m
[seed 20]  32/100       Tanh+ELU       acc= 87.35  ETA  52.3m
[seed 50]  33/100       Tanh+LeakyReLU acc= 87.87  ETA  51.0m
[seed 40]  32/100       Tanh+ELU       acc= 87.45  ETA  53.5m
[seed 20]  33/100       Tanh+LeakyReLU acc= 87.74  ETA  51.5m
[seed 10]  31/100       Tanh+ReLU      acc= 87.35  ETA  56.6m
[seed 30]  32/100       Tanh+ELU       acc= 87.28  ETA  54.1m
[seed 50]  34/100       Tanh+Tanh      acc= 87.34  ETA  50.2m
[seed 40]  33/100       Tanh+LeakyReLU acc= 87.13  ETA  52.6m
[seed 20]  34/100       Tanh+Tanh      acc= 86.95  ETA  50.7m
[seed 10]  32/100       Tanh+ELU       acc= 87.53  ETA  55.9m
[seed 30]  33/100       Tanh+LeakyReLU acc= 87.85  ETA  53.5m
[seed 50]  35/100       Tanh+GELU      acc= 87.42  ETA  49.4m
[seed 40]  34/100       Tanh+Tanh      acc= 87.53  ETA  51.7m
[seed 20]  35/100       Tanh+GELU      acc= 87.67  ETA  49.9m
[seed 30]  34/100       Tanh+Tanh      acc= 86.91  ETA  52.6m
[seed 10]  33/100       Tanh+LeakyReLU acc= 87.56  ETA  55.2m
[seed 50]  36/100       Tanh+SiLU      acc= 87.78  ETA  48.6m
[seed 40]  35/100       Tanh+GELU      acc= 87.90  ETA  50.9m
[seed 20]  36/100       Tanh+SiLU      acc= 87.37  ETA  49.1m
[seed 30]  35/100       Tanh+GELU      acc= 88.10  ETA  51.9m
[seed 10]  34/100       Tanh+Tanh      acc= 87.02  ETA  54.5m
[seed 50]  37/100       Tanh+Mish      acc= 87.54  ETA  47.8m
[seed 40]  36/100       Tanh+SiLU      acc= 87.65  ETA  50.0m
[seed 20]  37/100       Tanh+Mish      acc= 87.44  ETA  48.3m
[seed 30]  36/100       Tanh+SiLU      acc= 87.22  ETA  51.0m
[seed 50]  38/100       Tanh+SELU      acc= 87.12  ETA  47.1m
[seed 40]  37/100       Tanh+Mish      acc= 87.81  ETA  49.2m
[seed 10]  35/100       Tanh+GELU      acc= 87.47  ETA  53.7m
[seed 20]  38/100       Tanh+SELU      acc= 87.49  ETA  47.5m
[seed 30]  37/100       Tanh+Mish      acc= 86.89  ETA  50.2m
[seed 50]  39/100       Tanh+PReLU     acc= 87.47  ETA  46.3m
[seed 40]  38/100       Tanh+SELU      acc= 87.39  ETA  48.4m
[seed 10]  36/100       Tanh+SiLU      acc= 86.64  ETA  52.8m
[seed 20]  39/100       Tanh+PReLU     acc= 87.12  ETA  46.7m
[seed 30]  38/100       Tanh+SELU      acc= 87.17  ETA  49.5m
[seed 50]  40/100       Tanh+Hardswish acc= 87.43  ETA  45.5m
[seed 40]  39/100       Tanh+PReLU     acc= 87.56  ETA  47.7m
[seed 10]  37/100       Tanh+Mish      acc= 87.58  ETA  52.0m
[seed 20]  40/100       Tanh+Hardswish acc= 87.70  ETA  45.9m
[seed 50]  41/100       GELU+ReLU      acc= 87.55  ETA  44.7m
[seed 30]  39/100       Tanh+PReLU     acc= 87.06  ETA  48.8m
[seed 40]  40/100       Tanh+Hardswish acc= 87.84  ETA  46.9m
[seed 20]  41/100       GELU+ReLU      acc= 87.44  ETA  45.1m
[seed 10]  38/100       Tanh+SELU      acc= 86.86  ETA  51.3m
