Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+BiGRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+BiGRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 30]  14/100        ELU+Tanh      acc= 87.73  ETA  71.1m
[seed 50]  14/100        ELU+Tanh      acc= 87.73  ETA  71.9m
[seed 40]  15/100        ELU+GELU      acc= 87.30  ETA  67.9m
[seed 10]  16/100        ELU+SiLU      acc= 87.22  ETA  65.0m
[seed 20]  15/100        ELU+GELU      acc= 87.53  ETA  70.1m
[seed 30]  15/100        ELU+GELU      acc= 87.69  ETA  70.2m
[seed 50]  15/100        ELU+GELU      acc= 87.65  ETA  71.0m
[seed 40]  16/100        ELU+SiLU      acc= 86.91  ETA  66.5m
[seed 10]  17/100        ELU+Mish      acc= 87.46  ETA  63.9m
[seed 20]  16/100        ELU+SiLU      acc= 87.36  ETA  69.2m
[seed 30]  16/100        ELU+SiLU      acc= 87.51  ETA  69.4m
[seed 50]  16/100        ELU+SiLU      acc= 87.78  ETA  70.0m
[seed 40]  17/100        ELU+Mish      acc= 86.66  ETA  66.0m
[seed 10]  18/100        ELU+SELU      acc= 87.24  ETA  62.7m
[seed 20]  17/100        ELU+Mish      acc= 87.36  ETA  68.6m
[seed 30]  17/100        ELU+Mish      acc= 87.42  ETA  68.7m
[seed 50]  17/100        ELU+Mish      acc= 87.59  ETA  69.3m
[seed 40]  18/100        ELU+SELU      acc= 86.88  ETA  64.7m
[seed 10]  19/100        ELU+PReLU     acc= 87.41  ETA  61.6m
[seed 20]  18/100        ELU+SELU      acc= 87.47  ETA  67.7m
[seed 30]  18/100        ELU+SELU      acc= 87.49  ETA  67.8m
[seed 50]  18/100        ELU+SELU      acc= 87.52  ETA  68.4m
[seed 40]  19/100        ELU+PReLU     acc= 87.10  ETA  64.1m
[seed 10]  20/100        ELU+Hardswish acc= 87.27  ETA  61.1m
[seed 20]  19/100        ELU+PReLU     acc= 87.29  ETA  66.9m
[seed 40]  20/100        ELU+Hardswish acc= 87.18  ETA  62.9m
[seed 30]  19/100        ELU+PReLU     acc= 87.80  ETA  67.0m
[seed 50]  19/100        ELU+PReLU     acc= 87.89  ETA  67.5m
[seed 10]  21/100  LeakyReLU+ReLU      acc= 87.42  ETA  60.6m
[seed 20]  20/100        ELU+Hardswish acc= 87.29  ETA  66.0m
[seed 40]  21/100  LeakyReLU+ReLU      acc= 87.01  ETA  62.2m
[seed 30]  20/100        ELU+Hardswish acc= 87.54  ETA  66.2m
[seed 10]  22/100  LeakyReLU+ELU       acc= 87.12  ETA  59.5m
[seed 50]  20/100        ELU+Hardswish acc= 87.86  ETA  67.2m
[seed 40]  22/100  LeakyReLU+ELU       acc= 87.02  ETA  61.1m
[seed 20]  21/100  LeakyReLU+ReLU      acc= 87.54  ETA  65.2m
[seed 30]  21/100  LeakyReLU+ReLU      acc= 87.39  ETA  65.3m
[seed 10]  23/100  LeakyReLU+LeakyReLU acc= 87.75  ETA  58.9m
[seed 50]  21/100  LeakyReLU+ReLU      acc= 87.58  ETA  66.3m
[seed 40]  23/100  LeakyReLU+LeakyReLU acc= 86.88  ETA  60.4m
[seed 20]  22/100  LeakyReLU+ELU       acc= 87.06  ETA  64.4m
[seed 30]  22/100  LeakyReLU+ELU       acc= 87.46  ETA  64.5m
[seed 10]  24/100  LeakyReLU+Tanh      acc= 87.22  ETA  57.9m
[seed 50]  22/100  LeakyReLU+ELU       acc= 87.68  ETA  65.4m
[seed 40]  24/100  LeakyReLU+Tanh      acc= 87.40  ETA  59.8m
[seed 20]  23/100  LeakyReLU+LeakyReLU acc= 87.48  ETA  63.5m
[seed 30]  23/100  LeakyReLU+LeakyReLU acc= 87.70  ETA  63.6m
[seed 10]  25/100  LeakyReLU+GELU      acc= 87.45  ETA  57.3m
[seed 50]  23/100  LeakyReLU+LeakyReLU acc= 87.43  ETA  64.5m
[seed 40]  25/100  LeakyReLU+GELU      acc= 87.25  ETA  59.1m
[seed 20]  24/100  LeakyReLU+Tanh      acc= 87.22  ETA  62.7m
[seed 10]  26/100  LeakyReLU+SiLU      acc= 87.15  ETA  56.7m
[seed 30]  24/100  LeakyReLU+Tanh      acc= 87.49  ETA  63.2m
[seed 50]  24/100  LeakyReLU+Tanh      acc= 87.57  ETA  63.6m
[seed 40]  26/100  LeakyReLU+SiLU      acc= 87.61  ETA  58.4m
[seed 20]  25/100  LeakyReLU+GELU      acc= 87.61  ETA  61.9m
[seed 30]  25/100  LeakyReLU+GELU      acc= 87.97  ETA  62.4m
[seed 10]  27/100  LeakyReLU+Mish      acc= 87.49  ETA  56.2m
[seed 50]  25/100  LeakyReLU+GELU      acc= 87.53  ETA  62.7m
[seed 40]  27/100  LeakyReLU+Mish      acc= 87.35  ETA  57.4m
[seed 20]  26/100  LeakyReLU+SiLU      acc= 87.50  ETA  61.0m
[seed 30]  26/100  LeakyReLU+SiLU      acc= 88.04  ETA  61.5m
[seed 10]  28/100  LeakyReLU+SELU      acc= 87.66  ETA  55.6m
[seed 50]  26/100  LeakyReLU+SiLU      acc= 87.46  ETA  61.9m
[seed 40]  28/100  LeakyReLU+SELU      acc= 87.54  ETA  56.7m
[seed 20]  27/100  LeakyReLU+Mish      acc= 87.05  ETA  60.3m
[seed 10]  29/100  LeakyReLU+PReLU     acc= 87.37  ETA  54.9m
[seed 30]  27/100  LeakyReLU+Mish      acc= 87.78  ETA  60.7m
[seed 50]  27/100  LeakyReLU+Mish      acc= 87.73  ETA  61.1m
[seed 40]  29/100  LeakyReLU+PReLU     acc= 87.05  ETA  56.0m
[seed 20]  28/100  LeakyReLU+SELU      acc= 87.84  ETA  59.4m
[seed 10]  30/100  LeakyReLU+Hardswish acc= 87.62  ETA  53.9m
[seed 50]  28/100  LeakyReLU+SELU      acc= 87.59  ETA  60.2m
[seed 30]  28/100  LeakyReLU+SELU      acc= 87.64  ETA  60.2m
[seed 40]  30/100  LeakyReLU+Hardswish acc= 87.29  ETA  55.0m
[seed 20]  29/100  LeakyReLU+PReLU     acc= 87.55  ETA  58.6m
[seed 10]  31/100       Tanh+ReLU      acc= 87.26  ETA  53.3m
[seed 50]  29/100  LeakyReLU+PReLU     acc= 87.31  ETA  59.3m
[seed 30]  29/100  LeakyReLU+PReLU     acc= 87.52  ETA  59.4m
